Source,Target,coll,weight,cor
ASV654,ASV5,-0.942857143,0.942857143,-1
ASV61,ASV5,-0.912159324,0.912159324,-1
ASV65,ASV5,-0.81167945,0.81167945,-1
ASV514,ASV5,-1,1,-1
ASV9000,ASV5,-0.941123948,0.941123948,-1
ASV2482,ASV5,-0.971008312,0.971008312,-1
ASV9001,ASV5,-0.941123948,0.941123948,-1
ASV587,ASV5,-0.942857143,0.942857143,-1
ASV513,ASV5,-0.828571429,0.828571429,-1
ASV713,ASV5,-0.828571429,0.828571429,-1
ASV75,ASV5,-0.8196886,0.8196886,-1
ASV2450,ASV5,-0.941123948,0.941123948,-1
ASV9002,ASV5,-0.845154255,0.845154255,-1
ASV2481,ASV5,-0.942857143,0.942857143,-1
ASV2445,ASV5,-0.845154255,0.845154255,-1
ASV8491,ASV5,0.8196886,0.8196886,1
ASV9004,ASV5,-0.941123948,0.941123948,-1
ASV82,ASV5,-0.880406274,0.880406274,-1
ASV104,ASV1,-0.885714286,0.885714286,-1
ASV482,ASV1,-0.885714286,0.885714286,-1
ASV7,ASV1,0.828571429,0.828571429,1
ASV16,ASV1,-0.845154255,0.845154255,-1
ASV491,ASV1,-0.885714286,0.885714286,-1
ASV179,ASV1,-0.828571429,0.828571429,-1
ASV1525,ASV1,-0.885714286,0.885714286,-1
ASV53,ASV1,-0.880406274,0.880406274,-1
ASV8,ASV1,-0.81167945,0.81167945,-1
ASV83,ASV1,-0.828571429,0.828571429,-1
ASV486,ASV1,-0.942857143,0.942857143,-1
ASV2479,ASV1,-0.885714286,0.885714286,-1
ASV5093,ASV1,-0.942857143,0.942857143,-1
ASV21,ASV1,0.942857143,0.942857143,1
ASV310,ASV104,0.942857143,0.942857143,1
ASV482,ASV104,1,1,1
ASV11,ASV104,-0.885714286,0.885714286,-1
ASV476,ASV104,0.942857143,0.942857143,1
ASV7,ASV104,-0.828571429,0.828571429,-1
ASV22,ASV104,-0.828571429,0.828571429,-1
ASV491,ASV104,1,1,1
ASV179,ASV104,0.885714286,0.885714286,1
ASV1525,ASV104,1,1,1
ASV557,ASV104,0.942857143,0.942857143,1
ASV26,ASV104,-0.885714286,0.885714286,-1
ASV53,ASV104,0.941123948,0.941123948,1
ASV83,ASV104,0.885714286,0.885714286,1
ASV486,ASV104,0.942857143,0.942857143,1
ASV2479,ASV104,1,1,1
ASV21,ASV104,-0.942857143,0.942857143,-1
ASV649,ASV104,0.942857143,0.942857143,1
ASV1217,ASV104,0.828571429,0.828571429,1
ASV7477,ASV104,0.927633657,0.927633657,1
ASV50,ASV33,0.828571429,0.828571429,1
ASV42,ASV33,0.942857143,0.942857143,1
ASV1570,ASV33,0.942857143,0.942857143,1
ASV1583,ASV33,0.828571429,0.828571429,1
ASV598,ASV33,0.880406274,0.880406274,1
ASV30,ASV310,0.828571429,0.828571429,1
ASV482,ASV310,0.942857143,0.942857143,1
ASV11,ASV310,-0.828571429,0.828571429,-1
ASV476,ASV310,0.885714286,0.885714286,1
ASV22,ASV310,-0.942857143,0.942857143,-1
ASV491,ASV310,0.942857143,0.942857143,1
ASV1525,ASV310,0.942857143,0.942857143,1
ASV17,ASV310,-0.828571429,0.828571429,-1
ASV557,ASV310,0.885714286,0.885714286,1
ASV26,ASV310,-0.942857143,0.942857143,-1
ASV53,ASV310,0.8196886,0.8196886,1
ASV486,ASV310,0.828571429,0.828571429,1
ASV2479,ASV310,0.942857143,0.942857143,1
ASV21,ASV310,-0.828571429,0.828571429,-1
ASV649,ASV310,0.885714286,0.885714286,1
ASV1217,ASV310,0.942857143,0.942857143,1
ASV2623,ASV310,0.880406274,0.880406274,1
ASV7477,ASV310,0.985610761,0.985610761,1
ASV134,ASV310,0.898645105,0.898645105,1
ASV22,ASV30,-0.942857143,0.942857143,-1
ASV23,ASV30,0.828571429,0.828571429,1
ASV1217,ASV30,0.942857143,0.942857143,1
ASV2623,ASV30,0.880406274,0.880406274,1
ASV7477,ASV30,0.81167945,0.81167945,1
ASV8512,ASV30,0.941123948,0.941123948,1
ASV1524,ASV477,0.845154255,0.845154255,1
ASV123,ASV477,0.885714286,0.885714286,1
ASV498,ASV477,0.942857143,0.942857143,1
ASV8,ASV477,0.81167945,0.81167945,1
ASV487,ASV477,0.828571429,0.828571429,1
ASV67,ASV477,0.845154255,0.845154255,1
ASV11,ASV482,-0.885714286,0.885714286,-1
ASV476,ASV482,0.942857143,0.942857143,1
ASV7,ASV482,-0.828571429,0.828571429,-1
ASV22,ASV482,-0.828571429,0.828571429,-1
ASV491,ASV482,1,1,1
ASV179,ASV482,0.885714286,0.885714286,1
ASV1525,ASV482,1,1,1
ASV557,ASV482,0.942857143,0.942857143,1
ASV26,ASV482,-0.885714286,0.885714286,-1
ASV53,ASV482,0.941123948,0.941123948,1
